"GEOID","NAME","year","Estimate!!Total","Estimate!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 years","Estimate!!Total!!Male!!21 years","Estimate!!Total!!Male!!22 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 39 years","Estimate!!Total!!Male!!40 to 44 years","Estimate!!Total!!Male!!45 to 49 years","Estimate!!Total!!Male!!50 to 54 years","Estimate!!Total!!Male!!55 to 59 years","Estimate!!Total!!Male!!60 and 61 years","Estimate!!Total!!Male!!62 to 64 years","Estimate!!Total!!Male!!65 and 66 years","Estimate!!Total!!Male!!67 to 69 years","Estimate!!Total!!Male!!70 to 74 years","Estimate!!Total!!Male!!75 to 79 years","Estimate!!Total!!Male!!80 to 84 years","Estimate!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 years","Estimate!!Total!!Female!!21 years","Estimate!!Total!!Female!!22 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 39 years","Estimate!!Total!!Female!!40 to 44 years","Estimate!!Total!!Female!!45 to 49 years","Estimate!!Total!!Female!!50 to 54 years","Estimate!!Total!!Female!!55 to 59 years","Estimate!!Total!!Female!!60 and 61 years","Estimate!!Total!!Female!!62 to 64 years","Estimate!!Total!!Female!!65 and 66 years","Estimate!!Total!!Female!!67 to 69 years","Estimate!!Total!!Female!!70 to 74 years","Estimate!!Total!!Female!!75 to 79 years","Estimate!!Total!!Female!!80 to 84 years","Estimate!!Total!!Female!!85 years and over","Estimate!!Total:","Estimate!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 years","Estimate!!Total:!!Male:!!21 years","Estimate!!Total:!!Male:!!22 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 and 61 years","Estimate!!Total:!!Male:!!62 to 64 years","Estimate!!Total:!!Male:!!65 and 66 years","Estimate!!Total:!!Male:!!67 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 years","Estimate!!Total:!!Female:!!21 years","Estimate!!Total:!!Female:!!22 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 and 61 years","Estimate!!Total:!!Female:!!62 to 64 years","Estimate!!Total:!!Female:!!65 and 66 years","Estimate!!Total:!!Female:!!67 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over"
"45","South Carolina",2015,4896146,2385096,148118,153937,157904,101030,73428,36764,37414,102780,163416,151541,141864,149512,151799,163652,152514,60448,86026,52586,80412,96255,59804,34505,29387,2511050,139370,156940,145052,86957,68238,32838,33782,101762,162303,154319,150146,158927,159938,176549,178138,67629,97157,66237,89339,106009,71581,52156,55683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","South Dakota",2015,858469,431540,30412,32092,27736,18070,13818,6788,5333,18449,28516,28717,26201,24797,23580,29145,30211,10954,15431,10365,12294,13645,9774,7500,7712,426929,29185,28044,28166,15975,12258,6678,5508,16849,27096,27594,24969,22381,23827,28057,29969,11588,15562,8607,10937,16854,12335,11246,13244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Tennessee",2015,6600299,3214689,202631,212051,213939,131094,89434,48625,47598,134445,216640,209707,199769,216234,213134,223368,218033,80653,109011,67874,102729,115331,76781,48821,36787,3385610,196606,202594,209221,125664,86084,45217,46301,135308,223378,216076,210547,214610,219531,237906,241153,87056,120901,76437,112423,132853,96237,71887,77620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Texas",2015,27469114,13625413,1000580,1048890,1017766,607317,399672,221517,206057,607553,1023478,995886,936676,921064,859529,871497,802617,294691,382512,227050,309841,364039,243272,159545,124364,13843701,966128,1003226,985959,578918,382750,194000,198575,577345,978613,979887,939911,927784,875858,889642,829329,315116,427264,253639,340242,433898,306728,225582,233307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Vermont",2015,626042,308552,15328,16394,18433,11589,11665,5119,5801,12258,17728,18026,17336,17014,20577,23351,24331,9941,13369,8616,10955,12064,7291,6337,5029,317490,14844,15841,16078,11653,9532,6223,5379,11251,16830,18149,19481,16020,21178,25282,25140,11194,13623,8379,11687,13014,9635,7487,9590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Utah",2015,2995919,1506383,127854,134505,132136,74421,44600,21618,25600,81140,108949,114495,112613,92397,79140,76041,68809,30530,38936,23425,27806,35572,24546,17683,13567,1489536,122115,126837,124099,70366,45815,22189,26882,73793,106746,110316,108116,89130,76242,76316,75735,29599,39997,23304,31414,39212,28566,21877,20870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Virginia",2015,8382993,4126326,262095,265498,267522,161405,121561,61755,64552,179119,300494,291057,277376,268637,276153,295670,272547,101648,134807,83163,111252,136167,89046,57153,47649,4256667,248822,262111,250087,152274,114254,61858,55142,169620,292578,288676,282940,266949,288107,309508,292602,112261,145864,97196,124893,155492,109061,82318,94054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Washington",2015,7170351,3585221,226840,237103,221051,138875,92709,54192,50647,151221,273811,266399,241777,227832,233567,243444,240288,89926,121934,77232,100398,122595,79012,52389,41979,3585130,217831,224907,213805,131558,87568,43412,48804,140514,254989,255165,230433,226727,227536,243696,247204,96308,131652,81150,110498,132278,88969,64916,85210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","West Virginia",2015,1844128,908559,50634,53275,53829,33971,25657,13602,12271,34407,55353,53204,56038,60212,59857,63283,65605,27801,38432,22270,33547,38712,25502,17164,13933,935569,51320,49947,53244,33227,21970,12612,11217,32598,56245,53072,56691,57503,58271,65179,66694,28070,42476,26706,35474,40836,31184,24145,26888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Wisconsin",2015,5771337,2868297,172242,185345,189708,115591,78534,40675,42295,122495,181465,188303,175573,177554,188906,211102,211430,78343,104841,66390,83517,94038,69663,49267,41020,2903040,164601,180956,174598,108998,75067,41733,40182,119320,172211,183477,171619,171949,185759,213126,215333,79808,107435,67045,84890,110657,85478,63149,85649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Wyoming",2015,586107,295102,20116,18699,21436,10556,8651,5964,4579,11161,20930,20643,20585,17010,15905,18512,21149,9380,10571,5826,9513,9862,6393,4300,3361,291005,18034,20811,18954,10894,9893,4665,2999,9948,19957,20910,18662,15883,15711,19845,22335,7124,11088,5651,7883,10838,6820,5782,6318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Puerto Rico",2015,3474182,1657467,90553,104542,112409,72312,50179,28453,25841,74180,108645,96789,104409,109901,105964,106070,97796,40663,57429,34649,58233,67648,48629,35075,27098,1816715,82343,98538,105197,71499,50442,28628,26097,70443,108763,106972,118394,115739,118031,125021,118977,47797,68201,43777,68938,84296,66065,44487,48070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"01","Alabama",2015,4858979,2352810,146407,161740,158823,98678,67288,36997,37795,93612,154285,150527,147593,149521,148508,165317,162458,58472,85484,52587,70314,85736,56675,37707,26286,2506169,138715,156432,149658,97955,68303,30497,36955,96872,163670,155990,156724,158355,155891,174290,172912,69783,90625,57793,79947,103742,79124,56304,55632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02","Alaska",2015,738432,388695,27883,26777,25914,15522,11287,7908,7159,21909,33887,30046,26006,21772,22271,26194,25185,10403,13524,6592,8839,9494,4699,3220,2204,349737,26878,25525,22836,15056,8512,4742,5734,15267,28960,25885,22807,21071,21255,23606,25470,9699,10474,5761,8416,9016,4875,4509,3383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"04","Arizona",2015,6828065,3387385,219078,231399,235333,139977,97343,53472,52454,142563,242389,229041,216744,208861,206212,211067,198791,73256,114333,69270,100367,137331,96547,59887,51670,3440680,210782,224756,224721,135482,92012,48762,47202,135775,224738,218593,210024,209645,206457,219236,217033,86143,124387,85919,109666,150305,107815,71652,79575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"05","Arkansas",2015,2978204,1463576,94916,105083,100588,63725,45041,18839,20097,60749,95009,95370,92036,90385,91972,98711,94802,34558,49370,30707,44650,55988,36867,22697,21416,1514628,93788,93971,98877,54996,39233,20117,24042,56323,101710,93302,92722,92356,90392,102507,103344,37317,53842,34607,47741,65721,44074,35444,38202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"06","California",2015,39144818,19440558,1282484,1292517,1288636,790063,543195,300586,299747,894175,1544924,1449919,1318183,1283506,1300955,1311936,1210082,449894,581202,354891,472925,559778,389726,272240,248994,19704260,1225165,1248196,1231080,758277,515225,279612,274334,836263,1452038,1385831,1294461,1294220,1298115,1332135,1270074,471946,646284,399486,532755,662064,488273,367888,440538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08","Colorado",2015,5456574,2741020,169905,183504,181210,106186,75535,37086,44914,120427,217865,210800,193545,185779,176177,179889,174742,67746,92090,54989,71442,82115,51074,32386,31614,2715554,163634,176380,175821,100132,70041,33026,34849,112071,200642,197830,188613,170052,171119,183846,177864,74091,97591,59720,76408,92098,61363,47149,51214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Delaware",2015,945934,458208,28449,25897,31599,18300,12595,7172,6344,18887,32273,28803,29769,24136,29182,33392,30517,13014,15916,11527,13389,19705,11673,8173,7496,487726,26996,26745,29717,16497,13324,7797,5385,17594,32861,30411,29231,27591,31867,34995,35389,13546,18919,12849,17727,20581,15318,10253,12133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","District of Columbia",2015,672228,319705,22126,16204,13429,8317,10034,6270,7050,13855,36112,35515,25775,22250,19418,19345,18900,6166,8168,3500,6188,9231,4795,3038,4019,352523,21104,16358,13061,7239,12935,5474,6194,19694,41909,38951,27301,21093,19534,19056,18864,7817,10119,6265,9103,9805,7516,5470,7661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"09","Connecticut",2015,3590886,1752063,95079,105834,116006,74259,53814,26723,23980,77341,112008,111287,107626,103436,124131,135709,131729,47203,62109,36548,47540,61784,40859,27323,29735,1838823,91449,101909,108660,70129,52202,26933,21715,70135,107967,111514,101015,120427,132695,144623,137229,50809,67918,38634,55150,74647,52147,41508,59408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Florida",2015,20271272,9891238,560755,579297,583543,364062,250286,143476,126712,391755,675671,627732,605834,614164,642119,703124,654555,245464,351338,224591,340360,450472,334520,223474,197934,10380034,537518,558363,562617,356834,239381,137789,124543,360060,658457,631393,614156,629318,661291,736798,705303,283779,408552,271458,376837,521404,381201,289486,333496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Georgia",2015,10214860,4975458,333118,373844,351831,220914,152479,78659,70693,221193,351532,332716,333577,336413,343840,340056,310114,113404,147417,91367,125585,153755,94208,57748,40995,5239402,316242,343592,357194,205679,147555,74996,72047,211057,349723,349297,356806,361397,354565,362584,335330,129194,173043,106290,146697,185621,122947,87994,89552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Idaho",2015,1654930,826819,55420,66760,61759,37320,22317,10371,9145,37918,54635,55141,55273,47774,48573,50586,49310,21376,28944,18338,24923,27610,20663,13159,9504,828111,56427,58146,61726,34623,23348,11819,11283,30566,53509,53525,52206,49252,47663,52142,53457,20391,28961,16327,25393,32986,22712,14628,17021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Hawaii",2015,1431603,724635,46558,43450,44234,24263,15891,11100,12058,36316,62284,54767,46202,45062,43170,44416,48517,16925,22625,16079,22606,26048,16559,10862,14643,706968,45535,42258,41267,23641,14107,8479,8461,28071,50706,48639,42331,44182,43083,43930,48470,17558,25894,18906,22205,27998,19414,16871,24962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Illinois",2015,12859995,6310435,396335,423658,426517,262257,174474,86814,93472,273855,443615,445697,424611,410283,419310,442307,426908,159249,209814,122558,160697,199651,136651,90421,81281,6549560,383331,398266,419060,250761,169537,94623,88317,256780,439002,444898,429959,407752,425167,457984,449818,168185,229154,137070,184091,236139,177378,135795,166493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Indiana",2015,6619680,3253089,211439,218504,236534,137994,95855,48917,52147,147494,213198,207189,206802,204796,209685,225227,218424,85171,112127,66989,84462,109109,74396,46058,40572,3366591,207770,212513,218159,136821,95703,51888,49395,134974,211814,209821,208599,202401,210470,233047,234147,88180,117151,67910,99916,127273,95165,69640,83834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Iowa",2015,3123899,1549289,98619,107752,102608,63167,52603,24025,23240,65656,96375,102408,94746,91453,94464,105945,104204,43814,56766,33092,41674,53874,38984,28208,25612,1574610,96465,98936,100865,60341,44850,22931,23958,63379,95445,98524,93336,88524,93290,106173,105892,41907,60086,33581,45331,60421,48424,38143,53808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Kansas",2015,2911641,1449224,100159,99092,105202,62847,44074,24970,24396,66657,97937,98837,89932,85442,86186,95623,97796,32626,49570,28833,37103,46065,32044,24061,19772,1462417,96907,100505,97216,58306,43018,21280,21434,57099,91760,95965,89006,82850,82894,97654,98175,38412,51762,30166,40657,52435,40916,33870,40130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Kentucky",2015,4425092,2174892,139784,142664,145447,88691,61282,36332,32450,88410,142757,137015,138648,144106,141949,155631,150028,58788,75151,46780,62165,78997,50927,33259,23631,2250200,133582,135924,138886,85605,61378,34789,28492,82586,143532,138198,138337,142381,142910,160988,160054,61657,82532,52191,71566,89947,65383,46082,53200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Louisiana",2015,4670724,2286299,158418,164406,156602,95421,66589,34158,34558,99941,164077,163621,154691,134251,135208,153825,149813,56871,79592,48236,60477,68946,50073,31360,25165,2384425,146427,160757,143195,90959,58853,33914,35037,96234,174360,168542,146403,142727,147296,161427,162538,63208,83197,50482,67601,87571,61855,50907,50935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Maine",2015,1329328,651030,32056,35922,39426,24727,17329,8593,8549,23579,37405,36935,35385,39896,44696,51722,52612,20169,28764,17499,24659,28221,20152,12061,10673,678298,31796,33427,35494,23011,15976,9588,8040,20575,38787,38837,35163,42228,46128,53603,57663,20380,30299,19768,25124,31370,22761,16929,21351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Maryland",2015,6006401,2912348,186793,192933,191787,117077,77913,43857,41146,120402,210455,201818,188336,186225,199546,218360,203535,72229,94572,55907,80496,91996,61295,40879,34791,3094053,179834,182469,182014,114825,77885,40967,38266,115747,212321,209539,202206,192962,214740,236016,217845,82094,112702,69165,89542,110929,81874,59253,70858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Massachusetts",2015,6794422,3297384,187224,188483,205101,128790,102112,52873,50900,144377,241483,225695,206137,205207,227054,248220,231913,87365,115930,67476,92339,112994,72236,52518,50957,3497038,178159,186118,191164,122155,103848,48497,53380,144597,242102,232496,208153,219106,240737,260391,245722,94727,129980,79660,101853,135721,92753,80831,104888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Michigan",2015,9922576,4877067,293168,307566,322082,206123,139641,72647,76151,214291,318825,296002,286193,297032,325252,355045,355957,137047,178627,109378,145808,174497,120529,78700,66506,5045509,277487,290623,314846,195929,134366,73308,66863,209138,309902,296829,290733,301449,329187,365818,374057,141671,198080,121287,160080,197556,146401,112989,136910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Minnesota",2015,5489594,2730030,181536,183490,183353,110015,73466,35268,35402,112572,183616,193667,179014,162877,176710,196752,190376,69964,100800,55302,72091,89088,61192,42390,41089,2759564,169391,173063,178001,104049,69439,36251,35398,107965,177789,190639,167554,166492,173235,197893,199835,72128,96636,57871,77947,99329,75991,59186,73482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Mississippi",2016,2988726,1440934,94031,104309,105471,61735,49112,24949,19542,64207,94582,88167,89009,90286,89639,92063,91232,34150,53185,30367,46082,50479,33013,20774,14550,1547792,92799,101070,102888,60850,48117,21922,20071,60631,98209,97654,99645,95660,93619,100115,104047,39001,57125,35817,46753,60611,44034,30721,36433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Missouri",2016,6093000,2994651,191627,198922,201255,122664,90219,46123,41094,123776,204466,194959,192042,172766,186411,204489,210389,79384,103707,60922,91049,111009,71137,50492,45749,3098349,179905,184491,193077,118123,85245,40096,38372,116997,204525,195627,194148,178299,189985,211227,223848,84147,113616,72226,101602,124089,95865,72188,80651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
